NumPoints	GridDim	TimeStd(ms)	TimeStrat(ms)	StdResult	StratResult
10000	N/A	1	-	1.591630	-
10000	5	-	0	-	1.563782
10000	10	-	0	-	1.511821
10000	20	-	0	-	1.515130
10000	50	-	1	-	0.000000
100000	N/A	1	-	1.582947	-
100000	5	-	1	-	1.571003
100000	10	-	1	-	1.573650
100000	20	-	1	-	1.559030
100000	50	-	1	-	1.569673
1000000	N/A	12	-	1.570955	-
1000000	5	-	11	-	1.573841
1000000	10	-	9	-	1.571236
1000000	20	-	12	-	1.568450
1000000	50	-	8	-	1.569717
10000000	N/A	84	-	1.570080	-
10000000	5	-	81	-	1.571001
10000000	10	-	81	-	1.570897
10000000	20	-	86	-	1.570533
10000000	50	-	75	-	1.570803
100000000	N/A	828	-	1.570533	-
100000000	5	-	824	-	1.570971
100000000	10	-	828	-	1.570834
100000000	20	-	783	-	1.570863
100000000	50	-	790	-	1.570776
1000000000	N/A	8625	-	1.570786	-
1000000000	5	-	8883	-	1.570792
1000000000	10	-	7957	-	1.570822
1000000000	20	-	7947	-	1.570795
1000000000	50	-	8349	-	1.570800
