NumPoints	GridDim	TimeStd(ms)	TimeStrat(ms)	StdResult	StratResult
10000	N/A	0	-	3.838356	-
10000	5	-	0	-	0.000000
10000	10	-	14	-	0.000000
10000	20	-	369	-	0.000000
10000	50	-	36753	-	0.000000
100000	N/A	1	-	3.753662	-
100000	5	-	2	-	3.752490
100000	10	-	13	-	0.000000
100000	20	-	430	-	0.000000
100000	50	-	37571	-	0.000000
1000000	N/A	15	-	3.749419	-
1000000	5	-	13	-	3.760931
1000000	10	-	29	-	3.011235
1000000	20	-	376	-	0.000000
1000000	50	-	41770	-	0.000000
10000000	N/A	142	-	3.757802	-
10000000	5	-	138	-	3.763079
10000000	10	-	147	-	3.607317
10000000	20	-	465	-	0.000000
10000000	50	-	38435	-	0.000000
100000000	N/A	1174	-	3.758448	-
100000000	5	-	1238	-	3.759321
100000000	10	-	1128	-	3.760389
100000000	20	-	1180	-	2.888057
100000000	50	-	35758	-	0.000000
1000000000	N/A	11543	-	3.760086	-
1000000000	5	-	11362	-	3.759927
1000000000	10	-	11776	-	3.759494
1000000000	20	-	11885	-	3.753839
1000000000	50	-	37019	-	0.000000
