NumPoints	GridDim	TimeStd(ms)	TimeStrat(ms)	StdResult	StratResult
10000	N/A	0	-	0.427730	-
10000	5	-	0	-	0.430155
10000	10	-	0	-	0.413094
10000	20	-	0	-	0.414480
10000	50	-	0	-	0.000000
100000	N/A	1	-	0.434935	-
100000	5	-	1	-	0.433402
100000	10	-	2	-	0.432935
100000	20	-	1	-	0.430449
100000	50	-	2	-	0.432926
1000000	N/A	14	-	0.433190	-
1000000	5	-	14	-	0.432918
1000000	10	-	13	-	0.432877
1000000	20	-	14	-	0.432238
1000000	50	-	10	-	0.432916
10000000	N/A	112	-	0.432967	-
10000000	5	-	106	-	0.432869
10000000	10	-	111	-	0.433061
10000000	20	-	113	-	0.432976
10000000	50	-	109	-	0.433002
100000000	N/A	1161	-	0.433045	-
100000000	5	-	1088	-	0.433025
100000000	10	-	1036	-	0.432970
100000000	20	-	982	-	0.433024
100000000	50	-	998	-	0.432994
1000000000	N/A	11309	-	0.433005	-
1000000000	5	-	10551	-	0.433011
1000000000	10	-	11201	-	0.433010
1000000000	20	-	11047	-	0.433014
1000000000	50	-	11615	-	0.433015
